"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1,0,0,1,0,0,51,0,18,0,3,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,3,2,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,19,0,0,0,3,0,0,13,0,0,9,1,0,0,0,0,0,0,0,4,0,11,0,0,0,6,6,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,7,11,0,0,0,0,0,0,1,0,0,10,0,0,5,1,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,5,0,0,5,0,0,0,0,0,0,0,23,0,0,0,0,0,8,0,0,0,0,0,1,12,13,0,0,0,0,1,0,0,1,0,2,0,40,0,0,1,4,0,3,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,11,5,7,0,0,1,3,0,1,0,1,0,0,0,0,0
"4",0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,4,1,4,36,0,0,0,0,0,0,9,0,0,10,0,0,4,2,20,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,22,0,0,1,0
"5",0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,2,0,0,0
"6",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,30,0,54,0,0,0,0,0,0,3,14,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
"7",38,1,0,0,0,0,23,0,27,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,10,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,63,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,16,0,0,0,4,1,5,0,0,0,1,0,0,2,0
"8",0,0,0,0,93,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,17,0,0,0,0,2,0,3,2,0,0,0,0,1,1,0,4,0,0,12,0,0,0,0,0,25,0,1,0,7,0,0,0,2,0,2,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,11,0,1,0,0
"9",0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,15,0,0,12,0,0,8,0,0,0,11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,1,0,35,0,0,0,0,0,0,0,1,0,0,0,0
"10",1,1,0,0,7,8,0,0,6,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,8,2,2,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,20,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,6,0,0,0,6,0,0,1,0,0,0,0,2,6,0,0,1,1,0,0,0,0,1,0,0,0,2,5,0,0,3,3
